As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,JHG,JANUS HENDERSON GROUP PLC COMMON STOCK USD1.5,0.0121934400,1691007.6500000000
2020-12-31,HASI,HANNON ARMSTRONG SUSTAINABLE REIT USD.01,0.0121932400,1690980.3700000000
2020-12-31,BPOP,POPULAR INC COMMON STOCK USD.01,0.0121841000,1689712.6400000000
2020-12-31,IRDM,IRIDIUM COMMUNICATIONS INC COMMON STOCK USD.001,0.0121801600,1689166.0500000000
2020-12-31,SAIA,SAIA INC COMMON STOCK USD.001,0.0121779000,1688852.8000000000
2020-12-31,FLS,FLOWSERVE CORP COMMON STOCK USD1.25,0.0121764500,1688651.2500000000
2020-12-31,CRUS,CIRRUS LOGIC INC COMMON STOCK USD.001,0.0121692200,1687648.2000000000
2020-12-31,SMTC,SEMTECH CORP COMMON STOCK USD.01,0.0121160400,1680273.7200000000
2020-12-31,NXST,NEXSTAR MEDIA GROUP INC CL A COMMON STOCK USD.01,0.0121124700,1679778.9600000000
2020-12-31,RPD,RAPID7 INC COMMON STOCK USD.01,0.0120948600,1677336.6400000000
2020-12-31,RXN,REXNORD CORP COMMON STOCK USD.01,0.0120629800,1672914.8700000000
2020-12-31,EXPO,EXPONENT INC COMMON STOCK USD.001,0.0120099100,1665555.0000000000
2020-12-31,BLDR,BUILDERS FIRSTSOURCE INC COMMON STOCK USD.01,0.0120097800,1665537.7200000000
2020-12-31,LAZ,LAZARD LTD CL A COMMON STOCK USD.01,0.0119959300,1663616.7000000000
2020-12-31,SNV,SYNOVUS FINANCIAL CORP COMMON STOCK USD1.0,0.0119875800,1662458.4600000000
2020-12-31,GPK,GRAPHIC PACKAGING HOLDING CO COMMON STOCK USD.01,0.0119414000,1656054.4000000000
2020-12-31,KMPR,KEMPER CORP COMMON STOCK USD.1,0.0119165900,1652613.3000000000
2020-12-31,ALRM,ALARM.COM HOLDINGS INC COMMON STOCK,0.0118621400,1645061.9000000000
2020-12-31,OLLI,OLLIE S BARGAIN OUTLET HOLDI COMMON STOCK USD.001,0.0118496600,1643331.6900000000
2020-12-31,SLM,SLM CORP COMMON STOCK USD.2,0.0118496000,1643322.8700000000
2020-12-31,HLF,HERBALIFE NUTRITION LTD COMMON STOCK USD.002,0.0118152000,1638553.0500000000
2020-12-31,KOD,KODIAK SCIENCES INC COMMON STOCK USD.0001,0.0117988400,1636283.5800000000
2020-12-31,SAGE,SAGE THERAPEUTICS INC COMMON STOCK USD.0001,0.0117605500,1630973.0300000000
2020-12-31,JBLU,JETBLUE AIRWAYS CORP COMMON STOCK USD.01,0.0117528400,1629904.9200000000
2020-12-31,STAG,STAG INDUSTRIAL INC REIT USD.01,0.0117107500,1624067.2800000000
2020-12-31,FLO,FLOWERS FOODS INC COMMON STOCK USD.01,0.0117058400,1623385.6800000000
2020-12-31,UNM,UNUM GROUP COMMON STOCK USD.1,0.0117032600,1623027.9400000000
2020-12-31,VNT,VONTIER CORP COMMON STOCK USD.0001,0.0116864800,1620701.6000000000
2020-12-31,IART,INTEGRA LIFESCIENCES HOLDING COMMON STOCK USD.01,0.0116693500,1618325.7600000000
2020-12-31,AMG,AFFILIATED MANAGERS GROUP COMMON STOCK USD.01,0.0115808100,1606046.4000000000
2020-12-31,ACIW,ACI WORLDWIDE INC COMMON STOCK USD.005,0.0115421600,1600686.3600000000
